userid,start,end,slp.quality,time.in.bed,day,go.to.bed,wake.up,night.sleep,WeekDay
3,2018-04-02T12:57:00Z,2018-04-02T20:07:00Z,0.73,430,2018-04-03,22,6,TRUE,Tuesday
3,2018-04-03T13:06:00Z,2018-04-03T20:01:00Z,0.88,414,2018-04-04,23,6,TRUE,Wednesday
3,2018-04-04T14:31:00Z,2018-04-04T20:05:00Z,0.62,333,2018-04-05,0,6,TRUE,Thursday
3,2018-04-05T13:24:00Z,2018-04-05T20:05:00Z,0.59,401,2018-04-06,23,6,TRUE,Friday
3,2018-04-06T12:08:00Z,2018-04-06T20:18:00Z,0.8,489,2018-04-07,22,6,TRUE,Saturday
3,2018-04-07T12:57:00Z,2018-04-07T21:05:00Z,0.89,487,2018-04-08,22,7,TRUE,Sunday
3,2018-04-08T12:38:00Z,2018-04-08T20:03:00Z,0.57,444,2018-04-09,22,6,TRUE,Monday
3,2018-04-09T12:27:00Z,2018-04-09T20:00:00Z,0.79,453,2018-04-10,22,6,TRUE,Tuesday
3,2018-04-10T14:08:00Z,2018-04-10T20:02:00Z,0.46,354,2018-04-11,0,6,TRUE,Wednesday
3,2018-04-11T13:41:00Z,2018-04-11T20:02:00Z,0.72,381,2018-04-12,23,6,TRUE,Thursday
3,2018-04-12T13:21:00Z,2018-04-12T20:00:00Z,0.7,399,2018-04-13,23,6,TRUE,Friday
3,2018-04-13T11:20:00Z,2018-04-13T20:24:00Z,0.82,544,2018-04-14,21,6,TRUE,Saturday
3,2018-04-14T12:56:00Z,2018-04-14T20:36:00Z,0.6,460,2018-04-15,22,6,TRUE,Sunday
3,2018-04-15T13:02:00Z,2018-04-15T20:03:00Z,0.72,421,2018-04-16,23,6,TRUE,Monday
3,2018-04-16T11:54:00Z,2018-04-16T19:48:00Z,0.74,474,2018-04-17,21,5,TRUE,Tuesday
3,2018-04-17T12:13:00Z,2018-04-17T20:01:00Z,0.93,468,2018-04-18,22,6,TRUE,Wednesday
3,2018-04-18T12:26:00Z,2018-04-18T20:01:00Z,0.82,455,2018-04-19,22,6,TRUE,Thursday
3,2018-04-19T13:31:00Z,2018-04-19T20:01:00Z,0.72,390,2018-04-20,23,6,TRUE,Friday
3,2018-04-20T12:37:00Z,2018-04-20T21:03:00Z,1,506,2018-04-21,22,7,TRUE,Saturday
3,2018-04-21T13:45:00Z,2018-04-21T20:20:00Z,0.62,395,2018-04-22,23,6,TRUE,Sunday
3,2018-04-22T13:17:00Z,2018-04-22T20:04:00Z,0.68,406,2018-04-23,23,6,TRUE,Monday
3,2018-04-23T14:07:00Z,2018-04-23T20:03:00Z,0.7,356,2018-04-24,0,6,TRUE,Tuesday
3,2018-04-24T13:55:00Z,2018-04-24T17:10:00Z,0.38,194,2018-04-25,23,3,TRUE,Wednesday
3,2018-04-25T13:12:00Z,2018-04-25T20:05:00Z,0.68,412,2018-04-26,23,6,TRUE,Thursday
3,2018-04-26T12:02:00Z,2018-04-26T22:03:00Z,0.8,483,2018-04-27,22,8,TRUE,Friday
3,2018-04-27T13:06:00Z,2018-04-27T20:31:00Z,0.7,444,2018-04-28,23,6,TRUE,Saturday
3,2018-04-28T12:41:00Z,2018-04-28T20:56:00Z,0.68,494,2018-04-29,22,6,TRUE,Sunday
3,2018-04-29T12:57:00Z,2018-04-29T19:59:00Z,0.55,422,2018-04-30,22,5,TRUE,Monday
4,2018-03-31T13:47:17Z,2018-03-31T20:48:00Z,0.61,361,2018-04-01,0,6,TRUE,Sunday
4,2018-04-01T16:34:00Z,2018-04-01T22:04:50Z,0.46,330,2018-04-02,2,8,TRUE,Monday
4,2018-04-02T14:07:00Z,2018-04-02T22:02:34Z,0.72,534,2018-04-03,0,8,TRUE,Tuesday
4,2018-04-03T14:19:00Z,2018-04-03T22:05:00Z,0.68,466,2018-04-04,0,8,TRUE,Wednesday
4,2018-04-04T15:55:22Z,2018-04-05T00:27:28Z,0.97,534,2018-04-05,1,10,TRUE,Thursday
4,2018-04-05T15:33:08Z,2018-04-05T21:24:44Z,0.52,351,2018-04-06,1,7,TRUE,Friday
4,2018-04-06T13:09:50Z,2018-04-06T20:08:24Z,0.58,418,2018-04-07,23,6,TRUE,Saturday
4,2018-04-07T14:04:39Z,2018-04-07T20:38:46Z,0.57,394,2018-04-08,0,6,TRUE,Sunday
4,2018-04-08T15:35:58Z,2018-04-08T20:46:46Z,0.42,310,2018-04-09,1,6,TRUE,Monday
4,2018-04-09T14:36:18Z,2018-04-09T20:33:01Z,0.58,356,2018-04-10,0,6,TRUE,Tuesday
4,2018-04-10T16:30:03Z,2018-04-10T20:30:07Z,0.4,240,2018-04-11,2,6,TRUE,Wednesday
4,2018-04-11T15:03:21Z,2018-04-11T19:48:33Z,0.35,285,2018-04-12,1,5,TRUE,Thursday
4,2018-04-12T14:03:28Z,2018-04-12T21:28:27Z,0.59,445,2018-04-13,0,7,TRUE,Friday
4,2018-04-13T14:15:21Z,2018-04-13T20:38:22Z,0.62,383,2018-04-14,0,6,TRUE,Saturday
4,2018-04-14T13:20:19Z,2018-04-14T20:15:21Z,0.67,415,2018-04-15,23,6,TRUE,Sunday
4,2018-04-15T15:26:38Z,2018-04-15T21:19:49Z,0.46,353,2018-04-16,1,7,TRUE,Monday
4,2018-04-16T15:17:38Z,2018-04-16T20:21:16Z,0.49,303,2018-04-17,1,6,TRUE,Tuesday
4,2018-04-17T14:32:20Z,2018-04-17T22:37:42Z,0.74,485,2018-04-18,0,8,TRUE,Wednesday
4,2018-04-18T13:22:41Z,2018-04-18T20:43:42Z,0.63,441,2018-04-19,23,6,TRUE,Thursday
4,2018-04-19T15:55:02Z,2018-04-19T22:06:43Z,0.6,371,2018-04-20,1,8,TRUE,Friday
4,2018-04-20T12:58:09Z,2018-04-20T22:30:24Z,0.94,572,2018-04-21,22,8,TRUE,Saturday
4,2018-04-21T12:08:09Z,2018-04-21T20:59:43Z,0.83,531,2018-04-22,22,6,TRUE,Sunday
4,2018-04-22T13:35:19Z,2018-04-22T22:38:09Z,0.91,543,2018-04-23,23,8,TRUE,Monday
4,2018-04-23T12:16:02Z,2018-04-23T19:34:08Z,0.84,438,2018-04-24,22,5,TRUE,Tuesday
4,2018-04-24T15:03:42Z,2018-04-24T20:36:09Z,0.62,332,2018-04-25,1,6,TRUE,Wednesday
