userid,date,slp.start,slp.end,slp.quality,time.in.bed,go.to.bed,wake.up,weekday,sentiment.score,mood.score,mood,temp.high,temp.low,humidity.high,precip.sum,weather.event
3,2018-04-19,2018-04-18T12:26:00Z,2018-04-18T20:01:00Z,0.82,455,22,6,Thursday,0.186133,3,meh,27,15,77,0,NA
3,2018-04-20,2018-04-19T13:31:00Z,2018-04-19T20:01:00Z,0.72,390,23,6,Friday,0.18959,3,meh,22,16,94,0,NA
3,2018-04-21,2018-04-20T12:37:00Z,2018-04-20T21:03:00Z,1,506,22,7,Saturday,0.5,4,good,22,17,94,0,NA
3,2018-04-22,2018-04-21T13:45:00Z,2018-04-21T20:20:00Z,0.62,395,23,6,Sunday,0.744376,3,meh,23,15,88,0,NA
3,2018-04-23,2018-04-22T13:17:00Z,2018-04-22T20:04:00Z,0.68,406,23,6,Monday,0.056059,2,bad,24,15,88,0,NA
3,2018-04-24,2018-04-23T14:07:00Z,2018-04-23T20:03:00Z,0.7,356,0,6,Tuesday,0.093883,2,bad,23,16,88,0,NA
3,2018-04-25,2018-04-24T13:55:00Z,2018-04-24T17:10:00Z,0.38,194,23,3,Wednesday,0.5,3,meh,23,14,94,0,NA
3,2018-04-26,2018-04-25T13:12:00Z,2018-04-25T20:05:00Z,0.68,412,23,6,Thursday,0.179192,3,meh,22,17,94,0,NA
3,2018-04-27,2018-04-26T12:02:00Z,2018-04-26T22:03:00Z,0.8,483,22,8,Friday,0.085154,3,meh,20,16,90,4.06,Rain
3,2018-04-28,2018-04-27T13:06:00Z,2018-04-27T20:31:00Z,0.7,444,23,6,Saturday,0.5,3,meh,19,14,100,0.51,Rain
3,2018-04-29,2018-04-28T12:41:00Z,2018-04-28T20:56:00Z,0.68,494,22,6,Sunday,0.190929,3,meh,20,13,94,10.92,"Rain , Thunderstorm"
3,2018-04-30,2018-04-29T12:57:00Z,2018-04-29T19:59:00Z,0.55,422,22,5,Monday,NA,NA,NA,19,12,94,0,Rain
4,2018-04-01,2018-03-31T13:47:17Z,2018-03-31T20:48:00Z,0.61,361,0,6,Sunday,0.5,4,good,29,20,94,0,NA
4,2018-04-02,2018-04-01T16:34:00Z,2018-04-01T22:04:50Z,0.46,330,2,8,Monday,0.915821,4,good,32,20,94,3.05,"Rain , Thunderstorm"
4,2018-04-03,2018-04-02T14:07:00Z,2018-04-02T22:02:34Z,0.72,534,0,8,Tuesday,0.217832,4,good,24,20,83,0.25,NA
4,2018-04-04,2018-04-03T14:19:00Z,2018-04-03T22:05:00Z,0.68,466,0,8,Wednesday,0.4928655,4,good,25,20,88,0,NA
4,2018-04-05,2018-04-04T15:55:22Z,2018-04-05T00:27:28Z,0.97,534,1,10,Thursday,0.832341,4,good,28,18,88,0,NA
4,2018-04-06,2018-04-05T15:33:08Z,2018-04-05T21:24:44Z,0.52,351,1,7,Friday,0.184008,4,good,25,19,94,0,NA
4,2018-04-07,2018-04-06T13:09:50Z,2018-04-06T20:08:24Z,0.58,418,23,6,Saturday,0.905856,4,good,28,19,88,0,NA
4,2018-04-08,2018-04-07T14:04:39Z,2018-04-07T20:38:46Z,0.57,394,0,6,Sunday,0.8536695000000001,4,good,27,19,94,0,NA
4,2018-04-09,2018-04-08T15:35:58Z,2018-04-08T20:46:46Z,0.42,310,1,6,Monday,0.122458,4,good,36,19,88,0,NA
4,2018-04-10,2018-04-09T14:36:18Z,2018-04-09T20:33:01Z,0.58,356,0,6,Tuesday,0.813298,4,good,24,19,78,0,Rain
4,2018-04-11,2018-04-10T16:30:03Z,2018-04-10T20:30:07Z,0.4,240,2,6,Wednesday,0.3580895,4,good,28,20,78,0,NA
4,2018-04-12,2018-04-11T15:03:21Z,2018-04-11T19:48:33Z,0.35,285,1,5,Thursday,0.030524,1,awful,35,19,88,0,NA
4,2018-04-13,2018-04-12T14:03:28Z,2018-04-12T21:28:27Z,0.59,445,0,7,Friday,0.5,4,good,34,23,41,0,NA
4,2018-04-14,2018-04-13T14:15:21Z,2018-04-13T20:38:22Z,0.62,383,0,6,Saturday,0.5,4,good,31,23,50,0,Rain
4,2018-04-15,2018-04-14T13:20:19Z,2018-04-14T20:15:21Z,0.67,415,23,6,Sunday,0.751868,4,good,25,18,49,0,NA
4,2018-04-16,2018-04-15T15:26:38Z,2018-04-15T21:19:49Z,0.46,353,1,7,Monday,0.228114,4,good,31,18,56,0,NA
4,2018-04-17,2018-04-16T15:17:38Z,2018-04-16T20:21:16Z,0.49,303,1,6,Tuesday,0.29065,4,good,21,18,88,0,Rain
4,2018-04-18,2018-04-17T14:32:20Z,2018-04-17T22:37:42Z,0.74,485,0,8,Wednesday,0.093657,2,bad,22,18,68,0,NA
4,2018-04-19,2018-04-18T13:22:41Z,2018-04-18T20:43:42Z,0.63,441,23,6,Thursday,0.146867,4,good,27,15,77,0,NA
4,2018-04-20,2018-04-19T15:55:02Z,2018-04-19T22:06:43Z,0.6,371,1,8,Friday,0.190146,5,rad,22,16,94,0,NA
4,2018-04-21,2018-04-20T12:58:09Z,2018-04-20T22:30:24Z,0.94,572,22,8,Saturday,0.796692,5,rad,22,17,94,0,NA
4,2018-04-22,2018-04-21T12:08:09Z,2018-04-21T20:59:43Z,0.83,531,22,6,Sunday,0.961848,4,good,23,15,88,0,NA
4,2018-04-23,2018-04-22T13:35:19Z,2018-04-22T22:38:09Z,0.91,543,23,8,Monday,0.801166,4,good,24,15,88,0,NA
4,2018-04-24,2018-04-23T12:16:02Z,2018-04-23T19:34:08Z,0.84,438,22,5,Tuesday,0.81701,4,good,23,16,88,0,NA
4,2018-04-25,2018-04-24T15:03:42Z,2018-04-24T20:36:09Z,0.62,332,1,6,Wednesday,0.006915,2,bad,23,14,94,0,NA
4,2018-04-26,2018-04-25T14:19:33Z,2018-04-25T20:33:06Z,0.6,373,0,6,Thursday,0.71075,4,good,22,17,94,0,NA
