date,industry,location,monthly_mean
2013-05-01,7,7,316807.4191657143
2013-05-01,7,8,246322.4336
2013-05-01,7,9,249556.89234
2013-05-01,7,10,376386.312
2013-05-01,8,1,1371027.23
2013-05-01,8,2,389015.74282499996
2013-05-01,8,3,754634.3959499999
2013-05-01,8,4,356201.9865
2013-05-01,8,5,313568.40955
2013-05-01,8,6,377163.9253
2013-05-01,8,7,941581.8462
2013-05-01,8,8,334751.8012483333
2013-05-01,8,9,284095.52773333335
2013-05-01,8,10,197258.56985
2013-05-01,9,1,103162.778205
2013-05-01,9,2,541701.7108515385
2013-05-01,9,3,513984.00741
2013-05-01,9,4,1464624.6542666666
2013-05-01,9,7,659369.2566
2013-05-01,10,2,210356.540575
2013-05-01,10,3,89614.59496
2013-05-01,10,4,67945.21504
2013-05-01,10,5,140718.38330166668
2013-05-01,10,7,366301.36325
2013-05-01,10,8,18623261.676165
2013-05-01,10,9,87818.63227
2013-05-01,10,10,88075.09467
2013-06-01,1,1,152575.38055561643
2013-06-01,1,2,180296.95431773108
2013-06-01,1,3,151074.48918267858
2013-06-01,1,4,234499.7858565254
2013-06-01,1,5,179066.35510955556
2013-06-01,1,6,133135.3131328358
2013-06-01,1,7,222200.59230852942
2013-06-01,1,8,127135.33772833334
2013-06-01,1,9,157514.352795
2013-06-01,1,10,210559.23851685715
2013-06-01,2,1,385378.25164948055
2013-06-01,2,2,314160.102184
2013-06-01,2,3,190770.31473153847
2013-06-01,2,4,340891.15325933334
2013-06-01,2,5,337717.1906
2013-06-01,2,6,213607.69155125
2013-06-01,2,7,421835.35684333334
2013-06-01,2,8,228360.20973666667
2013-06-01,2,9,325619.2840692308
2013-06-01,2,10,225367.53539222223
2013-06-01,3,1,803384.48234
2013-06-01,3,2,538096.122236875
2013-06-01,3,3,603409.83645
2013-06-01,3,4,539873.8634383334
2013-06-01,3,5,631771.24
2013-06-01,3,7,360106.852475
2013-06-01,3,9,841552.8451
2013-06-01,4,1,252228.88682105264
2013-06-01,4,2,195125.98277388889
2013-06-01,4,3,223128.46529999998
2013-06-01,4,4,217485.21163083334
2013-06-01,4,5,319266.6540047619
2013-06-01,4,6,484307.95176666667
2013-06-01,4,7,355030.32266066666
2013-06-01,4,8,167455.0813875
2013-06-01,4,9,179653.97614
2013-06-01,4,10,265230.77151
2013-06-01,5,1,640072.8709381819
2013-06-01,5,2,322275.99546
2013-06-01,5,3,330375.4558
2013-06-01,5,4,537694.4249166667
2013-06-01,5,5,185294.18715
2013-06-01,5,6,672031.4831600001
2013-06-01,5,7,346112.42464999994
2013-06-01,5,8,442414.506775
2013-06-01,5,9,700644.94575
2013-06-01,5,10,639558.5033
2013-06-01,6,1,24337420.1809
2013-06-01,7,1,200152.39452538462
2013-06-01,7,2,240291.12327333333
2013-06-01,7,3,301602.2767666667
2013-06-01,7,4,426256.407225
2013-06-01,7,5,429317.71296142857
2013-06-01,7,6,168195.6932
2013-06-01,7,7,287338.676345
2013-06-01,7,8,222706.26206666668
2013-06-01,7,9,532703.91486
2013-06-01,7,10,284030.20645
2013-06-01,8,1,498384.28636333335
2013-06-01,8,2,352521.40815000003
2013-06-01,8,3,749566.43245
2013-06-01,8,4,376695.204
2013-06-01,8,5,295508.35895666666
2013-06-01,8,6,370648.4737
2013-06-01,8,7,1241880.358
2013-06-01,8,8,390567.07019166666
2013-06-01,8,9,301601.56305
2013-06-01,8,10,198911.288625
2013-06-01,9,1,112610.7082
2013-06-01,9,2,566048.328808
2013-06-01,9,3,603437.2891966667
2013-06-01,9,4,3131783.1812500004
2013-06-01,9,7,624294.2962
2013-06-01,10,2,256472.58265
2013-06-01,10,3,82278.46357
2013-06-01,10,4,66798.39257
2013-06-01,10,5,131828.66232333332
2013-06-01,10,7,329275.81265
2013-06-01,10,8,17892471.29186
2013-06-01,10,9,88355.75165
2013-07-01,1,1,158754.5879372152
2013-07-01,1,2,182749.88105870967
2013-07-01,1,3,146796.74487175437
2013-07-01,1,4,241063.91025422415
2013-07-01,1,5,186291.6323927957
2013-07-01,1,6,139261.63880785715
