date,industry,location,monthly_mean,year,month,monthn,m3,m6
2013-03-01,10,2,321285.19405,2013,3,3,237684.72725,237684.72725
2013-03-01,10,3,92460.98898,2013,3,3,93695.68612,93695.68612
2013-03-01,10,4,76855.10623,2013,3,3,65670.92575,65670.92575
2013-03-01,10,5,131379.91300714287,2013,3,3,142075.88168942858,142075.88168942858
2013-03-01,10,7,338512.6935,2013,3,3,285273.819275,285273.819275
2013-03-01,10,8,16822429.579795003,2013,3,3,15979548.82557,15979548.82557
2013-03-01,10,9,113936.3769,2013,3,3,90308.2532,90308.2532
2013-03-01,10,10,79868.29759,2013,3,3,92986.59175,92986.59175
2013-04-01,1,1,152341.08486633803,2013,4,4,149175.17949324532,149175.17949324532
2013-04-01,1,2,175338.34777420168,2013,4,4,179526.03588031486,179526.03588031486
2013-04-01,1,3,151466.41800763636,2013,4,4,150247.30383796545,150247.30383796545
2013-04-01,1,4,241183.7697213793,2013,4,4,250976.62004672168,250976.62004672168
2013-04-01,1,5,177145.1800621839,2013,4,4,178475.69553573383,178475.69553573383
2013-04-01,1,6,137842.52187209678,2013,4,4,133270.41264576453,133270.41264576453
2013-04-01,1,7,247680.1822419355,2013,4,4,235711.07523368558,235711.07523368558
2013-04-01,1,8,138871.629615,2013,4,4,142052.07143657227,142052.07143657227
2013-04-01,1,9,160354.7421718182,2013,4,4,161344.5029721391,161344.5029721391
2013-04-01,1,10,202133.8765538806,2013,4,4,191627.4259744149,191627.4259744149
2013-04-01,2,1,419980.4374188,2013,4,4,427864.973691519,427864.973691519
2013-04-01,2,2,323719.2153930612,2013,4,4,309506.05888250197,309506.05888250197
2013-04-01,2,3,236277.70432076923,2013,4,4,265869.55321983685,265869.55321983685
2013-04-01,2,4,345605.7627792857,2013,4,4,344710.70480871794,344710.70480871794
2013-04-01,2,5,455984.25945,2013,4,4,437876.78753333335,437876.78753333335
2013-04-01,2,6,209446.32369857142,2013,4,4,192179.73740190474,192179.73740190474
2013-04-01,2,7,373671.17219842103,2013,4,4,427619.22608700284,427619.22608700284
2013-04-01,2,8,177271.76881333333,2013,4,4,209773.68538833334,209773.68538833334
2013-04-01,2,9,460866.29563666665,2013,4,4,428055.9516297741,428055.9516297741
2013-04-01,2,10,230561.55509555555,2013,4,4,163468.26794976852,163468.26794976852
2013-04-01,3,1,795645.8664338095,2013,4,4,754369.122693985,754369.122693985
2013-04-01,3,2,408479.9666076471,2013,4,4,402714.7316991299,402714.7316991299
2013-04-01,3,3,749699.37202,2013,4,4,763622.0742,763622.0742
2013-04-01,3,4,572740.5421600001,2013,4,4,582311.048286,582311.048286
2013-04-01,3,5,677626.0412,2013,4,4,732978.2261666667,732978.2261666667
2013-04-01,3,7,311501.22575,2013,4,4,272455.1304583333,272455.1304583333
2013-04-01,3,9,1114125.835,2013,4,4,1162115.7748,1162115.7748
2013-04-01,4,1,283587.23829473683,2013,4,4,232597.32868596492,232597.32868596492
2013-04-01,4,2,197644.23267352942,2013,4,4,172518.66477042483,172518.66477042483
2013-04-01,4,3,221845.415325,2013,4,4,233855.49751666666,233855.49751666666
2013-04-01,4,4,241156.341145,2013,4,4,226187.48118388889,226187.48118388889
2013-04-01,4,5,340902.5717190476,2013,4,4,295648.27884126984,295648.27884126984
2013-04-01,4,6,512588.38430000003,2013,4,4,421315.4129222222,421315.4129222222
2013-04-01,4,7,397194.89762066666,2013,4,4,344489.2926269306,344489.2926269306
2013-04-01,4,8,189664.50017083334,2013,4,4,170606.4801811111,170606.4801811111
2013-04-01,4,9,185479.52196545454,2013,4,4,184962.59505190907,184962.59505190907
2013-04-01,4,10,271969.68423,2013,4,4,247263.71212333333,247263.71212333333
2013-04-01,5,1,651782.1483481819,2013,4,4,620021.5556527273,620021.5556527273
2013-04-01,5,2,382905.74769999995,2013,4,4,352483.6014666667,352483.6014666667
2013-04-01,5,4,617736.78466,2013,4,4,637294.668466,637294.668466
2013-04-01,5,5,183690.5229,2013,4,4,148023.49725000001,148023.49725000001
2013-04-01,5,6,363110.0757,2013,4,4,399658.3830111111,399658.3830111111
2013-04-01,5,7,342363.0894,2013,4,4,336548.885,336548.885
2013-04-01,5,8,513569.3126,2013,4,4,482803.32392222225,482803.32392222225
2013-04-01,5,9,722640.71045,2013,4,4,710433.0089666666,710433.0089666666
2013-04-01,5,10,654678.3172,2013,4,4,571446.878,571446.878
2013-04-01,6,1,21565533.78934,2013,4,4,20832696.027086668,20832696.027086668
2013-04-01,7,1,231100.879964,2013,4,4,254000.5796377037,254000.5796377037
2013-04-01,7,2,183074.81955625,2013,4,4,222286.18562238096,222286.18562238096
2013-04-01,7,3,260414.325235,2013,4,4,443102.97531166667,443102.97531166667
2013-04-01,7,4,500989.0451,2013,4,4,484297.14890833333,484297.14890833333
2013-04-01,7,5,450295.40478285716,2013,4,4,442996.0952161905,442996.0952161905
2013-04-01,7,6,185682.0745,2013,4,4,183071.81943333332,183071.81943333332
2013-04-01,7,7,292681.7641616667,2013,4,4,322603.4181021667,322603.4181021667
2013-04-01,7,8,238074.29606666666,2013,4,4,266344.4538777778,266344.4538777778
2013-04-01,7,9,266665.2093275,2013,4,4,300101.50796333334,300101.50796333334
2013-04-01,7,10,386761.4261,2013,4,4,218441.60133777777,218441.60133777777
2013-04-01,8,1,1384098.877,2013,4,4,647188.8566333334,647188.8566333334
2013-04-01,8,2,420151.3196,2013,4,4,288601.6327388889,288601.6327388889
2013-04-01,8,3,710956.1864,2013,4,4,687864.6092166667,687864.6092166667
2013-04-01,8,4,353841.2983833334,2013,4,4,308322.5838798889,308322.5838798889
2013-04-01,8,5,274164.65405,2013,4,4,340346.89163333335,340346.89163333335
2013-04-01,8,6,361772.842,2013,4,4,322517.93146666663,322517.93146666663
2013-04-01,8,7,920271.0297,2013,4,4,650576.6364333334,650576.6364333334
2013-04-01,8,8,393873.99166666664,2013,4,4,441453.73378333333,441453.73378333333
2013-04-01,8,9,294040.9746181818,2013,4,4,318691.295269697,318691.295269697
2013-04-01,8,10,196807.58315,2013,4,4,185595.30066666668,185595.30066666668
2013-04-01,9,1,111612.9242,2013,4,4,98971.65821666666,98971.65821666666
2013-04-01,9,2,526435.7006436,2013,4,4,463900.7686347722,463900.7686347722
2013-04-01,9,3,514226.55001,2013,4,4,423505.1126611111,423505.1126611111
2013-04-01,9,4,2147081.4874,2013,4,4,1808326.1280166667,1808326.1280166667
2013-04-01,9,7,546183.129,2013,4,4,498186.24566666665,498186.24566666665
2013-04-01,10,1,79432.50505,2013,4,4,75094.822455,75094.822455
2013-04-01,10,2,237710.8453,2013,4,4,265551.5495166667,265551.5495166667
2013-04-01,10,3,87591.78401,2013,4,4,93284.12040666667,93284.12040666667
2013-04-01,10,4,68738.55488,2013,4,4,69398.98591,69398.98591
2013-04-01,10,5,127225.15977857143,2013,4,4,138510.55879533335,138510.55879533335
2013-04-01,10,7,246105.77935,2013,4,4,303020.11068333336,303020.11068333336
2013-04-01,10,8,16308112.65593,2013,4,4,16260509.076978335,16260509.076978335
2013-04-01,10,9,99117.495,2013,4,4,98184.29443333333,98184.29443333333
2013-04-01,10,10,91130.86847,2013,4,4,86427.44467,86427.44467
2013-05-01,1,1,170330.06531208334,2013,5,5,154595.24943662062,149966.6558365185
2013-05-01,1,2,191078.92562677967,2013,5,5,178692.1134147684,178479.11385378658
2013-05-01,1,3,160730.75638916667,2013,5,5,153525.27988797755,150552.08238038316
2013-05-01,1,4,286881.4901072566,2013,5,5,257685.30473077565,248528.4074653861
2013-05-01,1,5,203563.71027795455,2013,5,5,178144.72393413621,178143.06666734634
2013-05-01,1,6,143307.3792732836,2013,5,5,134751.2311474079,134413.4399523476
2013-05-01,1,7,258700.7318112121,2013,5,5,241071.30778053764,238703.35198574804
2013-05-01,1,8,135168.9287344,2013,5,5,140416.55683723892,141256.9609811792
2013-05-01,1,9,166648.66526173914,2013,5,5,162324.23648520128,161097.06277205888
2013-05-01,1,10,226403.8722761972,2013,5,5,196093.88120506165,194254.03861928132
2013-05-01,2,1,433893.17318987177,2013,5,5,428946.309851119,425893.83962333924
2013-05-01,2,2,314259.9225237037,2013,5,5,313839.9705129224,313059.34801014175
2013-05-01,2,3,202999.31710307693,2013,5,5,245058.09796857808,258471.59099506994
2013-05-01,2,4,341866.1072,2013,5,5,342865.81723847985,344934.46930135984
2013-05-01,2,5,263687.564596,2013,5,5,425002.85850000003,442403.6555125
2013-05-01,2,6,219614.47061285714,2013,5,5,204714.76967714285,196496.38397607143
2013-05-01,2,7,405474.157405,2013,5,5,389743.84365647647,414132.21261485736
2013-05-01,2,8,239149.11551333332,2013,5,5,191179.25479777777,201648.20624458333
2013-05-01,2,9,371404.5469707143,2013,5,5,432302.89464128204,436258.53763149725
2013-05-01,2,10,234918.1417188889,2013,5,5,186526.37524703704,180241.58973621528
2013-05-01,3,1,824217.3937430435,2013,5,5,784919.6952884127,764688.3086289411
2013-05-01,3,2,421550.47787764703,2013,5,5,408394.9980998039,404156.04042625916
2013-05-01,3,3,731636.8407,2013,5,5,761848.4737266666,760141.398655
2013-05-01,3,4,509342.57819833333,2013,5,5,588679.8647800001,579918.4217545
2013-05-01,3,5,666754.261,2013,5,5,688728.186,719140.1799250001
2013-05-01,3,7,358503.44225,2013,5,5,297884.3339833333,282216.65428124997
2013-05-01,3,9,879913.4276,2013,5,5,1080276.1684666667,1150118.28985
2013-05-01,4,1,280761.22629473684,2013,5,5,251995.68432122807,245344.8060881579
2013-05-01,4,2,185300.9591057895,2013,5,5,183754.4935365033,178800.05674620098
